tire_condition,ac_condition,hybrid_battery_condition,engine_condition,tire_maintenance,ac_maintenance,battery_maintenance,engine_maintenance
96,38,3,17,0,1,1,1
89,42,18,84,0,0,1,0
85,54,13,4,0,0,1,1
100,92,99,33,0,0,0,1
30,29,84,42,1,1,0,0
97,20,75,6,0,1,0,1
19,77,26,15,1,0,1,1
33,39,99,13,0,1,0,1
59,84,92,71,0,0,0,0
69,89,1,15,0,0,1,1
97,38,5,21,0,1,1,1
97,66,74,14,0,0,0,1
67,3,89,72,0,1,0,0
65,17,36,66,0,1,1,0
89,27,19,66,0,1,1,0
61,13,48,22,0,1,1,1
85,78,74,77,0,0,0,0
66,9,8,27,0,1,1,1
11,0,76,86,1,1,0,0
19,31,7,91,1,1,1,0
94,45,47,93,0,0,1,0
63,20,13,71,0,1,1,0
2,54,19,13,1,0,1,1
51,46,87,89,0,0,0,0
39,9,67,46,0,1,0,0
57,82,85,38,0,0,0,1
87,31,29,3,0,1,1,1
15,99,36,53,1,0,1,0
78,24,21,47,0,1,1,0
74,27,92,66,0,1,0,0
89,36,1,68,0,1,1,0
46,23,23,93,0,1,1,0
27,71,36,84,1,0,1,0
82,0,39,38,0,1,1,1
34,29,69,13,0,1,0,1
12,39,4,99,1,1,1,0
38,70,85,68,0,0,0,0
39,51,100,51,0,0,0,0
49,22,88,45,0,1,0,0
84,1,93,60,0,1,0,0
99,44,35,14,0,0,1,1
60,32,94,69,0,1,0,0
11,14,56,35,1,1,0,1
33,17,83,19,0,1,0,1
18,91,21,10,1,0,1,1
53,82,99,57,0,0,0,0
99,97,69,51,0,0,0,0
69,55,30,72,0,0,1,0
31,11,83,72,0,1,0,0
81,89,70,46,0,0,0,0
36,42,51,73,0,0,0,0
68,72,46,99,0,0,1,0
44,71,49,86,0,0,1,0
47,13,62,44,0,1,0,0
47,81,93,57,0,0,0,0
79,37,96,20,0,1,0,1
54,92,14,0,0,0,1,1
33,84,19,75,0,0,1,0
19,15,95,1,1,1,0,1
63,29,26,42,0,1,1,0
73,76,87,43,0,0,0,0
24,36,51,100,1,1,0,0
66,36,87,80,0,1,0,0
18,16,57,96,1,1,0,0
17,85,52,64,1,0,0,0
76,40,97,17,0,1,0,1
98,64,37,72,0,0,1,0
0,67,98,32,1,0,0,1
9,51,26,59,1,0,1,0
58,38,23,30,0,1,1,1
29,1,94,64,1,1,0,0
22,77,5,48,1,0,1,0
9,49,86,54,1,0,0,0
44,27,55,94,0,1,0,0
27,32,11,14,1,1,1,1
49,80,91,96,0,0,0,0
67,81,42,40,0,0,1,1
83,17,92,11,0,1,0,1
4,14,58,80,1,1,0,0
5,84,68,69,1,0,0,0
3,12,70,54,1,1,0,0
19,24,59,19,1,1,0,1
18,30,21,44,1,1,1,0
89,34,15,57,0,1,1,0
98,56,30,68,0,0,1,0
97,95,71,23,0,0,0,1
1,11,93,100,1,1,0,0
45,100,67,77,0,0,0,0
60,30,15,25,0,1,1,1
32,38,62,87,0,1,0,0
15,49,36,30,1,0,1,1
81,72,3,5,0,0,1,1
44,36,72,34,0,1,0,1
13,86,12,22,1,0,1,1
95,43,49,44,0,0,1,0
20,39,79,49,1,1,0,0
74,39,76,68,0,1,0,0
15,89,29,1,1,0,1,1
0,66,26,55,1,0,1,0
55,20,100,73,0,1,0,0
17,36,29,75,1,1,1,0
51,12,3,71,0,1,1,0
82,79,32,70,0,0,1,0
29,6,22,25,1,1,1,1
76,99,27,2,0,0,1,1
4,22,100,81,1,1,0,0
82,44,77,34,0,0,0,1
37,67,40,67,0,0,1,0
13,59,12,6,1,0,1,1
3,87,89,64,1,0,0,0
1,97,16,24,1,0,1,1
0,59,65,10,1,0,0,1
6,75,83,37,1,0,0,1
57,52,92,47,0,0,0,0
9,78,78,6,1,0,0,1
38,61,44,36,0,0,1,1
71,9,36,55,0,1,1,0
67,9,34,41,0,1,1,0
28,94,95,56,1,0,0,0
68,21,55,9,0,1,0,1
84,97,44,58,0,0,1,0
44,61,21,34,0,0,1,1
29,90,78,8,1,0,0,1
44,13,47,78,0,1,1,0
42,5,30,84,0,1,1,0
9,98,0,26,1,0,1,1
61,87,17,12,0,0,1,1
19,5,78,57,1,1,0,0
17,66,40,18,1,0,1,1
0,60,1,30,1,0,1,1
78,99,10,31,0,0,1,1
10,69,60,40,1,0,0,1
38,70,33,72,0,0,1,0
39,76,18,81,0,0,1,0
50,46,68,59,0,0,0,0
96,32,89,55,0,1,0,0
94,10,73,44,0,1,0,0
74,53,15,47,0,0,1,0
50,75,60,52,0,0,0,0
97,35,88,40,0,1,0,1
23,88,41,72,1,0,1,0
27,49,41,46,1,0,1,0
52,53,54,7,0,0,0,1
97,37,9,95,0,1,1,0
51,43,30,70,0,0,1,0
28,49,17,4,1,0,1,1
54,37,45,65,0,1,1,0
72,52,15,90,0,0,1,0
82,18,18,50,0,1,1,0
39,59,88,53,0,0,0,0
11,40,33,66,1,1,1,0
0,54,30,97,1,0,1,0
92,2,16,97,0,1,1,0
83,91,74,55,0,0,0,0
64,25,19,45,0,1,1,0
59,23,76,81,0,1,0,0
6,83,6,51,1,0,1,0
35,52,22,67,0,0,1,0
41,30,61,76,0,1,0,0
73,54,78,66,0,0,0,0
68,1,30,10,0,1,1,1
93,100,54,38,0,0,0,1
66,79,3,90,0,0,1,0
65,48,47,91,0,0,1,0
15,33,91,36,1,1,0,1
59,43,55,25,0,0,0,1
38,86,36,33,0,0,1,1
96,32,20,86,0,1,1,0
36,22,97,13,0,1,0,1
72,70,35,99,0,0,1,0
75,34,56,52,0,1,0,0
52,81,48,58,0,0,1,0
13,65,35,51,1,0,1,0
65,74,26,93,0,0,1,0
74,53,73,48,0,0,0,0
65,56,41,1,0,0,1,1
12,4,29,61,1,1,1,0
97,23,0,51,0,1,1,0
9,50,39,64,1,0,1,0
4,37,28,35,1,1,1,1
81,50,17,1,0,0,1,1
12,95,35,66,1,0,1,0
75,90,8,67,0,0,1,0
83,4,28,95,0,1,1,0
68,69,34,81,0,0,1,0
57,80,1,12,0,0,1,1
12,52,31,70,1,0,1,0
97,80,68,97,0,0,0,0
28,99,56,92,1,0,0,0
61,20,91,44,0,1,0,0
7,71,6,59,1,0,1,0
83,27,30,71,0,1,1,0
67,22,72,82,0,1,0,0
70,0,96,57,0,1,0,0
11,0,28,24,1,1,1,1
53,36,91,39,0,1,0,1
64,91,57,36,0,0,0,1
57,73,99,77,0,0,0,0
70,17,50,36,0,1,1,1
41,79,18,68,0,0,1,0
50,43,45,45,0,0,1,0
8,10,88,97,1,1,0,0
79,31,25,36,0,1,1,1
53,59,3,15,0,0,1,1
47,12,4,9,0,1,1,1
13,9,75,87,1,1,0,0
40,69,47,93,0,0,1,0
89,66,49,57,0,0,1,0
1,21,50,94,1,1,1,0
99,38,52,87,0,1,0,0
34,22,85,35,0,1,0,1
17,10,63,8,1,1,0,1
40,35,50,94,0,1,1,0
19,33,93,60,1,1,0,0
27,74,76,28,1,0,0,1
59,65,37,71,0,0,1,0
74,41,69,6,0,0,0,1
46,80,18,33,0,0,1,1
53,61,78,17,0,0,0,1
16,51,70,2,1,0,0,1
5,11,31,14,1,1,1,1
1,34,38,20,1,1,1,1
88,49,55,28,0,0,0,1
58,4,9,32,0,1,1,1
89,3,69,80,0,1,0,0
41,52,27,58,0,0,1,0
32,37,19,77,0,1,1,0
36,47,55,17,0,0,0,1
87,21,100,14,0,1,0,1
72,22,8,81,0,1,1,0
69,64,31,73,0,0,1,0
40,60,45,62,0,0,1,0
96,29,67,12,0,1,0,1
46,42,82,9,0,0,0,1
5,20,74,35,1,1,0,1
51,10,21,28,0,1,1,1
15,81,34,49,1,0,1,0
8,68,83,9,1,0,0,1
58,28,48,51,0,1,1,0
48,67,27,4,0,0,1,1
63,54,80,82,0,0,0,0
20,91,72,98,1,0,0,0
73,9,46,46,0,1,1,0
11,92,80,15,1,0,0,1
46,47,16,97,0,0,1,0
1,32,96,22,1,1,0,1
64,47,94,95,0,0,0,0
95,38,83,15,0,1,0,1
10,10,18,25,1,1,1,1
15,42,92,58,1,0,0,0
17,44,63,65,1,0,0,0
71,64,27,56,0,0,1,0
37,67,57,33,0,0,0,1
48,4,35,97,0,1,1,0
16,76,35,74,1,0,1,0
31,41,36,11,0,0,1,1
0,32,36,77,1,1,1,0
66,28,21,31,0,1,1,1
46,75,13,8,0,0,1,1
78,39,14,54,0,1,1,0
92,64,72,57,0,0,0,0
25,61,94,47,1,0,0,0
50,81,77,44,0,0,0,0
9,22,83,7,1,1,0,1
16,31,89,8,1,1,0,1
59,37,2,40,0,1,1,1
39,86,51,63,0,0,0,0
66,82,6,81,0,0,1,0
99,44,6,44,0,0,1,0
76,13,47,68,0,1,1,0
14,16,28,34,1,1,1,1
93,9,21,65,0,1,1,0
100,74,89,82,0,0,0,0
95,12,86,29,0,1,0,1
19,8,25,81,1,1,1,0
32,5,36,42,0,1,1,0
56,52,51,23,0,0,0,1
33,42,49,66,0,0,1,0
90,48,58,45,0,0,0,0
57,98,1,24,0,0,1,1
73,90,40,4,0,0,1,1
74,10,83,99,0,1,0,0
57,51,38,38,0,0,1,1
22,70,82,52,1,0,0,0
78,21,32,0,0,1,1,1
25,89,54,5,1,0,0,1
3,97,2,15,1,0,1,1
39,48,89,24,0,0,0,1
33,3,86,11,0,1,0,1
82,52,98,6,0,0,0,1
47,2,94,8,0,1,0,1
41,8,57,73,0,1,0,0
34,81,69,41,0,0,0,0
14,22,75,5,1,1,0,1
18,100,30,63,1,0,1,0
42,46,19,73,0,0,1,0
7,22,26,100,1,1,1,0
67,59,90,95,0,0,0,0
31,28,26,85,0,1,1,0
89,49,69,40,0,0,0,1
20,47,75,99,1,0,0,0
23,19,5,24,1,1,1,1
28,81,77,93,1,0,0,0
55,72,75,48,0,0,0,0
45,24,2,82,0,1,1,0
51,5,19,35,0,1,1,1
0,64,44,12,1,0,1,1
78,49,79,33,0,0,0,1
76,99,37,26,0,0,1,1
87,47,87,10,0,0,0,1
71,70,52,25,0,0,0,1
87,56,15,0,0,0,1,1
88,86,36,10,0,0,1,1
98,14,63,44,0,1,0,0
4,62,50,45,1,0,1,0
74,58,42,6,0,0,1,1
71,34,13,25,0,1,1,1
14,37,44,65,1,1,1,0
13,47,59,15,1,0,0,1
67,93,48,94,0,0,1,0
81,85,81,42,0,0,0,0
35,47,85,90,0,0,0,0
24,0,27,60,1,1,1,0
90,81,61,36,0,0,0,1
80,74,60,85,0,0,0,0
88,18,63,13,0,1,0,1
26,4,40,87,1,1,1,0
17,55,31,30,1,0,1,1
93,71,16,38,0,0,1,1
31,60,76,1,0,0,0,1
42,36,46,66,0,1,1,0
36,6,82,96,0,1,0,0
26,87,75,15,1,0,0,1
16,95,46,97,1,0,1,0
47,91,49,60,0,0,1,0
90,98,39,57,0,0,1,0
16,42,77,47,1,0,0,0
94,27,51,53,0,1,0,0
72,37,17,100,0,1,1,0
26,18,61,0,1,1,0,1
26,35,79,40,1,1,0,1
94,53,68,27,0,0,0,1
82,26,42,62,0,1,1,0
59,53,42,77,0,0,1,0
11,83,58,8,1,0,0,1
23,90,94,35,1,0,0,1
46,0,24,59,0,1,1,0
37,16,2,8,0,1,1,1
89,100,43,81,0,0,1,0
52,1,23,21,0,1,1,1
50,55,38,11,0,0,1,1
53,42,45,83,0,0,1,0
97,42,90,14,0,0,0,1
78,26,32,1,0,1,1,1
43,58,98,43,0,0,0,0
70,9,98,61,0,1,0,0
55,21,73,68,0,1,0,0
35,32,18,59,0,1,1,0
20,52,26,92,1,0,1,0
32,92,30,75,0,0,1,0
98,50,65,44,0,0,0,0
66,71,9,40,0,0,1,1
3,5,45,84,1,1,1,0
98,3,18,18,0,1,1,1
36,27,88,47,0,1,0,0
68,66,24,69,0,0,1,0
96,14,90,28,0,1,0,1
78,85,26,30,0,0,1,1
83,33,46,25,0,1,1,1
50,26,84,73,0,1,0,0
51,85,16,60,0,0,1,0
47,87,7,85,0,0,1,0
74,67,35,0,0,0,1,1
38,43,77,7,0,0,0,1
25,21,7,37,1,1,1,1
2,91,85,96,1,0,0,0
30,43,26,99,1,0,1,0
22,52,32,28,1,0,1,1
68,63,45,75,0,0,1,0
29,80,68,34,1,0,0,1
38,32,0,55,0,1,1,0
77,12,48,19,0,1,1,1
55,25,74,61,0,1,0,0
54,55,44,84,0,0,1,0
18,35,86,33,1,1,0,1
3,94,94,43,1,0,0,0
24,16,36,7,1,1,1,1
55,78,50,41,0,0,1,0
72,62,89,56,0,0,0,0
49,32,28,61,0,1,1,0
80,31,32,2,0,1,1,1
82,79,55,25,0,0,0,1
90,26,39,48,0,1,1,0
1,98,21,72,1,0,1,0
4,18,85,16,1,1,0,1
23,54,5,25,1,0,1,1
21,16,46,21,1,1,1,1
26,28,97,46,1,1,0,0
25,18,2,39,1,1,1,1
64,96,55,16,0,0,0,1
51,20,49,65,0,1,1,0
81,91,16,27,0,0,1,1
22,27,59,96,1,1,0,0
9,63,61,56,1,0,0,0
54,88,15,4,0,0,1,1
75,74,83,34,0,0,0,1
33,21,1,47,0,1,1,0
62,10,37,99,0,1,1,0
51,18,92,70,0,1,0,0
71,40,36,40,0,1,1,1
34,21,54,30,0,1,0,1
8,0,91,20,1,1,0,1
62,4,87,75,0,1,0,0
63,0,23,79,0,1,1,0
70,89,54,0,0,0,0,1
32,4,2,85,0,1,1,0
51,54,83,20,0,0,0,1
44,57,25,78,0,0,1,0
50,34,23,96,0,1,1,0
95,22,9,42,0,1,1,0
23,52,71,91,1,0,0,0
87,49,94,86,0,0,0,0
70,66,45,19,0,0,1,1
42,77,6,70,0,0,1,0
45,76,37,86,0,0,1,0
87,83,58,83,0,0,0,0
68,12,14,38,0,1,1,1
37,23,79,93,0,1,0,0
15,5,99,87,1,1,0,0
29,18,60,52,1,1,0,0
27,86,55,27,1,0,0,1
8,41,65,16,1,0,0,1
89,37,1,59,0,1,1,0
34,63,45,5,0,0,1,1
45,8,90,23,0,1,0,1
68,42,85,47,0,0,0,0
20,95,91,61,1,0,0,0
97,26,86,32,0,1,0,1
86,29,69,42,0,1,0,0
65,42,44,86,0,0,1,0
20,33,69,62,1,1,0,0
28,94,3,97,1,0,1,0
30,81,8,77,1,0,1,0
98,19,72,55,0,1,0,0
41,81,41,29,0,0,1,1
62,39,3,66,0,1,1,0
62,92,21,85,0,0,1,0
26,65,17,69,1,0,1,0
8,49,36,86,1,0,1,0
49,54,56,57,0,0,0,0
97,94,89,75,0,0,0,0
11,43,94,41,1,0,0,0
78,2,15,29,0,1,1,1
42,21,86,76,0,1,0,0
51,89,81,15,0,0,0,1
29,1,80,38,1,1,0,1
77,40,79,83,0,1,0,0
93,84,35,69,0,0,1,0
87,31,53,21,0,1,0,1
16,64,26,92,1,0,1,0
93,27,63,7,0,1,0,1
13,15,18,41,1,1,1,0
91,45,76,85,0,0,0,0
52,32,67,67,0,1,0,0
34,46,69,32,0,0,0,1
8,84,78,39,1,0,0,1
17,42,14,92,1,0,1,0
40,80,63,94,0,0,0,0
38,27,27,54,0,1,1,0
16,97,14,62,1,0,1,0
50,69,26,79,0,0,1,0
25,8,91,14,1,1,0,1
89,2,44,76,0,1,1,0
95,18,19,26,0,1,1,1
12,73,94,25,1,0,0,1
53,72,50,2,0,0,1,1
34,86,76,22,0,0,0,1
99,4,28,50,0,1,1,0
91,20,87,62,0,1,0,0
11,81,67,45,1,0,0,0
90,9,94,84,0,1,0,0
34,78,35,40,0,0,1,1
35,17,2,55,0,1,1,0
30,81,15,75,1,0,1,0
100,17,70,29,0,1,0,1
56,71,60,86,0,0,0,0
89,75,63,58,0,0,0,0
75,59,73,11,0,0,0,1
62,67,14,60,0,0,1,0
77,90,31,6,0,0,1,1
37,17,13,84,0,1,1,0
86,14,72,12,0,1,0,1
84,82,82,62,0,0,0,0
49,55,65,61,0,0,0,0
59,18,89,41,0,1,0,0
40,73,20,93,0,0,1,0
54,93,96,0,0,0,0,1
72,91,97,82,0,0,0,0
97,1,56,52,0,1,0,0
41,60,11,20,0,0,1,1
96,58,25,53,0,0,1,0
41,50,42,58,0,0,1,0
98,85,93,47,0,0,0,0
49,46,67,65,0,0,0,0
50,3,77,92,0,1,0,0
88,12,70,31,0,1,0,1
1,14,81,76,1,1,0,0
38,62,28,84,0,0,1,0
15,88,34,56,1,0,1,0
60,65,93,50,0,0,0,0
61,78,0,28,0,0,1,1
27,36,69,74,1,1,0,0
51,0,32,54,0,1,1,0
80,80,50,50,0,0,1,0
52,1,18,36,0,1,1,1
43,100,52,6,0,0,0,1
94,56,33,72,0,0,1,0
74,35,85,76,0,1,0,0
41,12,63,23,0,1,0,1
54,97,66,15,0,0,0,1
93,98,27,27,0,0,1,1
96,6,60,41,0,1,0,0
83,76,6,48,0,0,1,0
97,50,83,96,0,0,0,0
60,35,35,14,0,1,1,1
76,26,45,40,0,1,1,1
74,59,16,56,0,0,1,0
17,93,63,85,1,0,0,0
45,5,98,40,0,1,0,1
59,78,14,47,0,0,1,0
15,73,42,23,1,0,1,1
14,6,18,89,1,1,1,0
56,95,55,86,0,0,0,0
39,13,22,18,0,1,1,1
22,58,92,64,1,0,0,0
12,43,27,79,1,0,1,0
28,34,78,67,1,1,0,0
79,77,60,31,0,0,0,1
16,42,71,60,1,0,0,0
61,55,27,82,0,0,1,0
71,17,56,9,0,1,0,1
18,88,100,5,1,0,0,1
83,25,15,7,0,1,1,1
42,39,63,65,0,1,0,0
51,11,19,24,0,1,1,1
27,10,40,93,1,1,1,0
25,30,26,56,1,1,1,0
77,75,9,86,0,0,1,0
85,39,87,70,0,1,0,0
48,13,99,98,0,1,0,0
49,96,2,90,0,0,1,0
63,32,49,41,0,1,1,0
48,47,3,42,0,0,1,0
45,85,88,38,0,0,0,1
13,61,62,38,1,0,0,1
75,20,95,88,0,1,0,0
78,81,21,69,0,0,1,0
28,18,67,47,1,1,0,0
6,90,66,23,1,0,0,1
68,32,100,65,0,1,0,0
60,52,15,60,0,0,1,0
14,57,46,10,1,0,1,1
9,80,52,23,1,0,0,1
23,82,75,85,1,0,0,0
1,24,76,41,1,1,0,0
48,35,32,75,0,1,1,0
70,30,46,45,0,1,1,0
68,73,91,98,0,0,0,0
77,50,97,67,0,0,0,0
5,11,44,5,1,1,1,1
60,81,95,6,0,0,0,1
21,44,99,17,1,0,0,1
82,25,44,89,0,1,1,0
82,2,60,49,0,1,0,0
98,73,72,91,0,0,0,0
3,12,40,93,1,1,1,0
91,86,15,14,0,0,1,1
15,54,63,5,1,0,0,1
24,39,51,98,1,1,0,0
50,78,32,26,0,0,1,1
91,27,35,27,0,1,1,1
63,92,20,80,0,0,1,0
13,48,43,43,1,0,1,0
44,2,80,42,0,1,0,0
73,62,55,56,0,0,0,0
36,17,90,3,0,1,0,1
63,30,75,99,0,1,0,0
61,0,95,64,0,1,0,0
58,41,55,55,0,0,0,0
99,65,96,79,0,0,0,0
90,18,94,12,0,1,0,1
61,9,80,80,0,1,0,0
61,20,38,46,0,1,1,0
47,88,51,73,0,0,0,0
44,56,13,71,0,0,1,0
0,20,86,3,1,1,0,1
5,44,84,10,1,0,0,1
97,1,84,80,0,1,0,0
73,83,16,70,0,0,1,0
85,53,50,87,0,0,1,0
75,66,42,16,0,0,1,1
73,9,78,27,0,1,0,1
22,61,25,11,1,0,1,1
76,30,0,93,0,1,1,0
86,51,46,85,0,0,1,0
100,69,2,98,0,0,1,0
43,65,64,84,0,0,0,0
10,41,28,15,1,0,1,1
52,70,72,87,0,0,0,0
35,92,92,58,0,0,0,0
49,68,12,50,0,0,1,0
99,33,41,33,0,1,1,1
54,50,72,28,0,0,0,1
96,29,88,84,0,1,0,0
4,48,1,73,1,0,1,0
80,35,51,93,0,1,0,0
73,49,73,80,0,0,0,0
37,3,36,91,0,1,1,0
70,50,37,55,0,0,1,0
6,45,44,67,1,0,1,0
79,34,91,61,0,1,0,0
63,25,58,85,0,1,0,0
67,55,78,54,0,0,0,0
48,46,24,34,0,0,1,1
85,97,19,91,0,0,1,0
9,70,27,12,1,0,1,1
18,63,48,59,1,0,1,0
98,67,36,7,0,0,1,1
77,53,11,98,0,0,1,0
32,14,78,47,0,1,0,0
85,72,74,44,0,0,0,0
84,9,63,4,0,1,0,1
75,66,45,11,0,0,1,1
79,15,12,88,0,1,1,0
76,46,26,23,0,0,1,1
69,70,69,14,0,0,0,1
24,82,36,74,1,0,1,0
4,83,67,93,1,0,0,0
56,95,55,96,0,0,0,0
19,68,24,33,1,0,1,1
1,2,9,47,1,1,1,0
26,35,9,86,1,1,1,0
58,30,16,55,0,1,1,0
13,77,27,24,1,0,1,1
84,69,4,80,0,0,1,0
42,1,41,99,0,1,1,0
91,51,86,70,0,0,0,0
50,4,1,52,0,1,1,0
73,50,92,98,0,0,0,0
81,61,69,46,0,0,0,0
32,23,38,5,0,1,1,1
90,48,19,92,0,0,1,0
14,51,13,26,1,0,1,1
78,13,48,58,0,1,1,0
54,49,21,98,0,0,1,0
27,50,3,70,1,0,1,0
38,2,83,89,0,1,0,0
90,63,7,87,0,0,1,0
42,83,58,14,0,0,0,1
31,70,95,13,0,0,0,1
6,97,49,96,1,0,1,0
36,96,12,88,0,0,1,0
11,66,7,71,1,0,1,0
88,21,32,87,0,1,1,0
37,74,59,26,0,0,0,1
80,49,97,86,0,0,0,0
70,33,62,30,0,1,0,1
86,17,97,46,0,1,0,0
16,9,50,63,1,1,1,0
4,62,86,71,1,0,0,0
47,42,30,56,0,0,1,0
22,4,44,91,1,1,1,0
16,25,62,86,1,1,0,0
40,29,73,90,0,1,0,0
37,55,74,89,0,0,0,0
44,82,76,13,0,0,0,1
2,18,55,11,1,1,0,1
13,33,100,19,1,1,0,1
7,82,73,59,1,0,0,0
42,85,3,84,0,0,1,0
29,11,30,51,1,1,1,0
63,59,30,50,0,0,1,0
48,36,19,1,0,1,1,1
93,45,54,29,0,0,0,1
83,59,51,79,0,0,0,0
36,51,11,66,0,0,1,0
19,18,59,31,1,1,0,1
70,58,85,59,0,0,0,0
58,65,49,88,0,0,1,0
62,23,86,4,0,1,0,1
91,39,19,26,0,1,1,1
3,10,83,47,1,1,0,0
81,89,52,7,0,0,0,1
88,10,75,84,0,1,0,0
34,14,17,13,0,1,1,1
32,78,12,87,0,0,1,0
83,37,6,35,0,1,1,1
76,23,83,35,0,1,0,1
91,8,84,2,0,1,0,1
58,61,57,100,0,0,0,0
57,3,78,14,0,1,0,1
23,12,46,85,1,1,1,0
20,68,35,55,1,0,1,0
48,43,32,57,0,0,1,0
87,66,7,67,0,0,1,0
16,16,26,34,1,1,1,1
31,50,42,73,0,0,1,0
22,1,2,44,1,1,1,0
61,13,42,72,0,1,1,0
66,62,71,19,0,0,0,1
0,71,21,86,1,0,1,0
51,43,70,53,0,0,0,0
63,71,69,50,0,0,0,0
4,99,54,83,1,0,0,0
45,28,39,84,0,1,1,0
44,80,57,58,0,0,0,0
24,35,18,16,1,1,1,1
81,47,48,58,0,0,1,0
50,22,34,19,0,1,1,1
54,82,58,0,0,0,0,1
4,18,45,37,1,1,1,1
100,41,29,74,0,0,1,0
16,81,1,87,1,0,1,0
87,41,31,51,0,0,1,0
44,42,80,41,0,0,0,0
34,20,96,70,0,1,0,0
45,1,47,28,0,1,1,1
34,31,24,87,0,1,1,0
13,48,99,59,1,0,0,0
66,2,36,60,0,1,1,0
6,39,0,21,1,1,1,1
36,65,15,61,0,0,1,0
68,70,14,46,0,0,1,0
50,1,67,65,0,1,0,0
52,100,79,17,0,0,0,1
89,58,7,17,0,0,1,1
60,78,74,4,0,0,0,1
60,6,19,43,0,1,1,0
61,84,92,89,0,0,0,0
33,38,21,57,0,1,1,0
23,16,29,13,1,1,1,1
9,27,85,36,1,1,0,1
14,16,74,93,1,1,0,0
58,60,72,54,0,0,0,0
71,11,41,23,0,1,1,1
61,23,20,95,0,1,1,0
9,37,5,71,1,1,1,0
69,99,82,79,0,0,0,0
87,5,89,38,0,1,0,1
1,41,77,100,1,0,0,0
48,22,6,55,0,1,1,0
89,27,53,63,0,1,0,0
52,43,44,52,0,0,1,0
1,46,54,8,1,0,0,1
44,74,21,41,0,0,1,0
90,68,33,40,0,0,1,1
33,33,6,9,0,1,1,1
91,7,0,2,0,1,1,1
75,20,61,17,0,1,0,1
77,38,31,31,0,1,1,1
98,62,92,19,0,0,0,1
100,70,51,75,0,0,0,0
20,14,42,19,1,1,1,1
42,29,6,60,0,1,1,0
52,61,71,15,0,0,0,1
97,19,81,48,0,1,0,0
46,98,88,9,0,0,0,1
72,34,80,53,0,1,0,0
51,14,3,25,0,1,1,1
76,49,32,70,0,0,1,0
79,19,90,63,0,1,0,0
0,1,35,54,1,1,1,0
42,98,64,21,0,0,0,1
16,12,21,38,1,1,1,1
12,55,39,27,1,0,1,1
93,98,69,79,0,0,0,0
51,26,72,75,0,1,0,0
50,4,69,19,0,1,0,1
68,98,80,6,0,0,0,1
100,45,70,19,0,0,0,1
53,93,71,59,0,0,0,0
36,16,81,75,0,1,0,0
16,76,47,94,1,0,1,0
69,75,35,18,0,0,1,1
12,99,77,19,1,0,0,1
15,44,60,71,1,0,0,0
52,60,2,68,0,0,1,0
84,53,85,80,0,0,0,0
89,69,79,30,0,0,0,1
84,47,68,53,0,0,0,0
14,38,4,7,1,1,1,1
87,83,16,25,0,0,1,1
86,86,63,5,0,0,0,1
33,12,98,40,0,1,0,1
59,81,28,53,0,0,1,0
66,50,78,55,0,0,0,0
61,38,34,46,0,1,1,0
32,72,19,32,0,0,1,1
66,98,65,34,0,0,0,1
45,35,34,30,0,1,1,1
45,25,72,92,0,1,0,0
94,89,68,7,0,0,0,1
1,49,4,94,1,0,1,0
77,9,100,96,0,1,0,0
36,55,16,55,0,0,1,0
8,42,17,63,1,0,1,0
9,72,46,17,1,0,1,1
13,87,73,32,1,0,0,1
41,7,30,56,0,1,1,0
69,62,58,82,0,0,0,0
68,66,75,34,0,0,0,1
3,70,93,47,1,0,0,0
0,81,23,14,1,0,1,1
8,63,67,13,1,0,0,1
39,1,0,55,0,1,1,0
67,100,22,52,0,0,1,0
73,73,9,20,0,0,1,1
54,18,70,2,0,1,0,1
32,64,20,19,0,0,1,1
62,15,55,61,0,1,0,0
58,81,19,79,0,0,1,0
97,24,60,99,0,1,0,0
26,33,64,1,1,1,0,1
1,54,69,29,1,0,0,1
93,31,35,50,0,1,1,0
45,4,85,83,0,1,0,0
8,52,21,63,1,0,1,0
87,44,17,65,0,0,1,0
50,80,6,99,0,0,1,0
12,9,14,42,1,1,1,0
95,80,73,74,0,0,0,0
29,59,77,56,1,0,0,0
86,30,31,97,0,1,1,0
78,98,54,46,0,0,0,0
29,79,44,16,1,0,1,1
83,100,4,86,0,0,1,0
90,19,6,2,0,1,1,1
64,96,22,100,0,0,1,0
56,86,95,32,0,0,0,1
46,51,74,20,0,0,0,1
38,14,79,76,0,1,0,0
21,31,22,2,1,1,1,1
16,99,38,13,1,0,1,1
56,89,8,84,0,0,1,0
82,45,52,4,0,0,0,1
6,54,42,32,1,0,1,1
0,38,21,90,1,1,1,0
94,57,9,21,0,0,1,1
37,10,30,69,0,1,1,0
53,43,78,84,0,0,0,0
28,79,51,88,1,0,0,0
16,9,78,0,1,1,0,1
34,16,98,7,0,1,0,1
73,60,67,91,0,0,0,0
45,41,82,69,0,0,0,0
94,0,54,54,0,1,0,0
37,35,87,27,0,1,0,1
74,58,0,100,0,0,1,0
8,15,17,73,1,1,1,0
32,47,41,16,0,0,1,1
54,38,32,50,0,1,1,0
7,78,99,81,1,0,0,0
4,39,35,35,1,1,1,1
30,47,56,73,1,0,0,0
45,40,81,50,0,1,0,0
97,6,48,54,0,1,1,0
40,43,52,21,0,0,0,1
77,15,5,69,0,1,1,0
46,44,6,5,0,0,1,1
5,73,35,63,1,0,1,0
6,72,29,88,1,0,1,0
